acronym,common name,chojnacky class,beta0,beta1
PIST,eastern white pine,Pinus < 0.45 spg,-2.6177,2.4638
PIBA2,jack pine,Pinus < 0.45 spg,-2.6177,2.4638
PICO,lodgepole pine,Pinus < 0.45 spg,-2.6177,2.4638
PIPO,ponderosa pine,Pinus < 0.45 spg,-2.6177,2.4638
PIEC2,shortleaf pine,Pinus >= 0.45 spg,-3.0506,2.6465
PIRI,pitch pine,Pinus >= 0.45 spg,-3.0506,2.6465
PITA,loblolly pine,Pinus >= 0.45 spg,-3.0506,2.6465
PSME,douglas-fir,Pseudotsuga,-2.4623,2.4852
POBA2,balsam poplar,Salicaceae < 0.35 spg,-2.6863,2.4561
POGR,bigtooth aspen,Salicaceae >= 0.35 spg,-2.4441,2.4561
PODE3,eastern cottonwood,Salicaceae >= 0.35 spg,-2.4441,2.4561
POTR5,quaking aspen,Salicaceae >= 0.35 spg,-2.4441,2.4561
SAAL2,white willow,Salicaceae >= 0.35 spg,-2.4441,2.4561
TSCA,eastern hemlock,Tsuga < 0.40 spg,-2.348,2.3876
